date,station,lon,lat,nearest1,dist1,nearest2,dist2,med05,std05,med1,std1,med2,std2
20020601,Gordons Bay,1.8859076E1,-3.4163417E1,1.5554E1,1.12455435177393,1.5557E1,1.38082111950781,1.6069E1,0.400070444914509,1.6431E1,0.53402443397434,1.6788E1,0.618328753195372
20020602,Gordons Bay,1.8859076E1,-3.4163417E1,1.5605E1,1.12455435177393,1.5605E1,1.38082111950781,1.5877E1,0.388927998598027,1.6368E1,0.587132547766238,1.6739E1,0.672398279105195
20020603,Gordons Bay,1.8859076E1,-3.4163417E1,1.6095E1,1.12455435177393,1.6096E1,1.38082111950781,1.60405E1,0.274795679716602,1.6411E1,0.493739820269002,1.6754E1,0.621618211807233
20020604,Gordons Bay,1.8859076E1,-3.4163417E1,1.6263E1,1.12455435177393,1.6268E1,1.38082111950781,1.6293E1,0.308596111433609,1.6553E1,0.498483561856192,1.6853E1,0.617504070565718
20020605,Gordons Bay,1.8859076E1,-3.4163417E1,1.6217E1,1.12455435177393,1.6224E1,1.38082111950781,1.6213E1,0.356942536542411,1.6581E1,0.491575697069741,1.6802E1,0.61818700766602
20020606,Gordons Bay,1.8859076E1,-3.4163417E1,1.5883E1,1.12455435177393,1.5896E1,1.38082111950781,1.6126E1,0.369236920520299,1.6359E1,0.513788793876948,1.6562E1,0.661937491699206
20020607,Gordons Bay,1.8859076E1,-3.4163417E1,1.5888E1,1.12455435177393,1.5885E1,1.38082111950781,1.608E1,0.197000719295109,1.6108E1,0.292073906526358,1.6323E1,0.56135328665394
20020608,Gordons Bay,1.8859076E1,-3.4163417E1,1.6126E1,1.12455435177393,1.6135E1,1.38082111950781,1.6127E1,0.153405499920646,1.6151E1,0.276614211849619,1.6343E1,0.561271230544196
20020609,Gordons Bay,1.8859076E1,-3.4163417E1,1.622E1,1.12455435177393,1.6232E1,1.38082111950781,1.6178E1,0.114325511034107,1.6188E1,0.26967890562304,1.6286E1,0.636042397930659
20020610,Gordons Bay,1.8859076E1,-3.4163417E1,1.5831E1,1.12455435177393,1.5852E1,1.38082111950781,1.601E1,0.163450483442484,1.6053E1,0.336900326361179,1.6107E1,0.785787162082367
20020611,Gordons Bay,1.8859076E1,-3.4163417E1,1.6088E1,1.12455435177393,1.6097E1,1.38082111950781,1.6038E1,0.0737379762738997,1.6088E1,0.348744449102414,1.6194E1,0.757056806680593
20020612,Gordons Bay,1.8859076E1,-3.4163417E1,1.6102E1,1.12455435177393,1.6112E1,1.38082111950781,1.6062E1,0.140830668256724,1.6064E1,0.434154452471271,1.6363E1,0.820424860906948
20020613,Gordons Bay,1.8859076E1,-3.4163417E1,1.6254E1,1.12455435177393,1.6258E1,1.38082111950781,1.6282E1,0.117954514316229,1.6235E1,0.353959960792347,1.6414E1,0.833635907218199
20020614,Gordons Bay,1.8859076E1,-3.4163417E1,1.6435E1,1.12455435177393,1.6443E1,1.38082111950781,1.6463E1,0.228782218879005,1.6414E1,0.393654475716632,1.6563E1,0.893328448908652
20020615,Gordons Bay,1.8859076E1,-3.4163417E1,1.6339E1,1.12455435177393,1.6352E1,1.38082111950781,1.6445E1,0.346352969908288,1.6431E1,0.459615708757892,1.6692E1,0.816705278229499
20020616,Gordons Bay,1.8859076E1,-3.4163417E1,1.6353E1,1.12455435177393,1.6371E1,1.38082111950781,1.6508E1,0.409394820055705,1.6541E1,0.473999124168379,1.6882E1,0.68413208976038
20020617,Gordons Bay,1.8859076E1,-3.4163417E1,1.6279E1,1.12455435177393,1.6313E1,1.38082111950781,1.6315E1,0.46090930671117,1.6455E1,0.484415319905956,1.6655E1,0.524677771751285
20020618,Gordons Bay,1.8859076E1,-3.4163417E1,1.6191E1,1.12455435177393,1.622E1,1.38082111950781,1.6221E1,0.3845746888168,1.6412E1,0.486216997463236,1.6646E1,0.600252641083098
20020619,Gordons Bay,1.8859076E1,-3.4163417E1,1.6003E1,1.12455435177393,1.603E1,1.38082111950781,1.6046E1,0.350613031923057,1.6364E1,0.532187289841988,1.6545E1,0.626607376026264
20020620,Gordons Bay,1.8859076E1,-3.4163417E1,1.592E1,1.12455435177393,1.5949E1,1.38082111950781,1.59405E1,0.377507947837508,1.6305E1,0.628438908345204,1.6544E1,0.672700068726672
20020621,Gordons Bay,1.8859076E1,-3.4163417E1,1.5902E1,1.12455435177393,1.5955E1,1.38082111950781,1.5881E1,0.40185950719025,1.6276E1,0.636597284499836,1.6523E1,0.672303141263773
20020622,Gordons Bay,1.8859076E1,-3.4163417E1,1.6068E1,1.12455435177393,1.6141E1,1.38082111950781,1.5887E1,0.372023154556133,1.6251E1,0.536113535801345,1.6422E1,0.610046123764435
20020623,Gordons Bay,1.8859076E1,-3.4163417E1,1.6078E1,1.12455435177393,1.6156E1,1.38082111950781,1.5721E1,0.309752867304516,1.6079E1,0.577461627162469,1.6266E1,0.614454964636315
20020624,Gordons Bay,1.8859076E1,-3.4163417E1,1.6022E1,1.12455435177393,1.6072E1,1.38082111950781,1.5796E1,0.28632014364246,1.6158E1,0.531099220578967,1.6319E1,0.565255211896054
20020625,Gordons Bay,1.8859076E1,-3.4163417E1,1.5782E1,1.12455435177393,1.5799E1,1.38082111950781,1.5869E1,0.318064858292788,1.6257E1,0.47652247028657,1.6297E1,0.508768390900995
20020626,Gordons Bay,1.8859076E1,-3.4163417E1,1.5773E1,1.12455435177393,1.5788E1,1.38082111950781,1.59455E1,0.297051724982189,1.5881E1,0.341255918567465,1.6043E1,0.4760095009406
20020627,Gordons Bay,1.8859076E1,-3.4163417E1,1.5467E1,1.12455435177393,1.5477E1,1.38082111950781,1.5733E1,0.314133774874815,1.5724E1,0.347994707227816,1.5874E1,0.441843070100791
