date,station,lon,lat,nearest1,dist1,nearest2,dist2,med05,std05,med1,std1,med2,std2
20020601,Port Edward,3.02225645E1,-3.10473315E1,2.2862E1,1.76103403010461,2.2865E1,1.7662329172015,2.2975E1,0.25878624354187,2.3026E1,0.410838865567387,2.2709E1,0.687540866558534
20020602,Port Edward,3.02225645E1,-3.10473315E1,2.3131E1,1.76103403010461,2.3132E1,1.7662329172015,2.3215E1,0.331743986415324,2.33E1,0.398000469102524,2.3023E1,0.613768355755536
20020603,Port Edward,3.02225645E1,-3.10473315E1,2.3252E1,1.76103403010461,2.3251E1,1.7662329172015,2.3518E1,0.348210709516016,2.3574E1,0.40368976789043,2.3311E1,0.643570417319214
20020604,Port Edward,3.02225645E1,-3.10473315E1,2.3191E1,1.76103403010461,2.3191E1,1.7662329172015,2.3563E1,0.359473362255358,2.358E1,0.401973180034763,2.3223E1,0.630877189516248
20020605,Port Edward,3.02225645E1,-3.10473315E1,2.3069E1,1.76103403010461,2.3076E1,1.7662329172015,2.3422E1,0.37861571736525,2.3479E1,0.430166948101115,2.312E1,0.60791281755059
20020606,Port Edward,3.02225645E1,-3.10473315E1,2.2185E1,1.76103403010461,2.2194E1,1.7662329172015,2.3059E1,0.33961821419158,2.3013E1,0.49510064932101,2.2813E1,0.564049641607338
20020607,Port Edward,3.02225645E1,-3.10473315E1,2.1758E1,1.76103403010461,2.1779E1,1.7662329172015,2.2879E1,0.394852601518982,2.2845E1,0.485820727526469,2.2669E1,0.530271612854964
20020608,Port Edward,3.02225645E1,-3.10473315E1,2.1925E1,1.76103403010461,2.1943E1,1.7662329172015,2.2782E1,0.370237186618873,2.273E1,0.440898824453182,2.249E1,0.558219376659395
20020609,Port Edward,3.02225645E1,-3.10473315E1,2.2031E1,1.76103403010461,2.2037E1,1.7662329172015,2.2846E1,0.383844058130861,2.2755E1,0.430951259300131,2.2504E1,0.564316936309263
20020610,Port Edward,3.02225645E1,-3.10473315E1,2.1936E1,1.76103403010461,2.1917E1,1.7662329172015,2.3021E1,0.436767307348534,2.2906E1,0.441094862206563,2.2571E1,0.572693134524442
20020611,Port Edward,3.02225645E1,-3.10473315E1,2.1924E1,1.76103403010461,2.1917E1,1.7662329172015,2.283E1,0.394136479968493,2.2785E1,0.407776808874384,2.2525E1,0.581553411001437
20020612,Port Edward,3.02225645E1,-3.10473315E1,2.1919E1,1.76103403010461,2.195E1,1.7662329172015,2.2611E1,0.425420834783233,2.2615E1,0.400759223859559,2.2374E1,0.550992643487306
20020613,Port Edward,3.02225645E1,-3.10473315E1,2.1787E1,1.76103403010461,2.1825E1,1.7662329172015,2.245E1,0.470820162719499,2.2494E1,0.457455455532329,2.2266E1,0.559582906349433
20020614,Port Edward,3.02225645E1,-3.10473315E1,2.1908E1,1.76103403010461,2.1923E1,1.7662329172015,2.2186E1,0.380434009149182,2.2201E1,0.456746251737587,2.2121E1,0.506804255477143
20020615,Port Edward,3.02225645E1,-3.10473315E1,2.1757E1,1.76103403010461,2.1775E1,1.7662329172015,2.2272E1,0.347632259854891,2.2287E1,0.419798301869089,2.2288E1,0.481329598918889
